frame,processing_ms,deadline_ms,deadline_missed
1776,14.944959,10.000000,1
1777,14.669235,10.000000,1
1778,14.625458,10.000000,1
1779,14.797977,10.000000,1
1780,14.501661,10.000000,1
1781,14.196511,10.000000,1
1782,14.487864,10.000000,1
1783,14.604031,10.000000,1
1784,14.636717,10.000000,1
1785,14.982127,10.000000,1
1786,14.295715,10.000000,1
1787,14.654291,10.000000,1
1788,14.840922,10.000000,1
1789,14.340567,10.000000,1
1790,14.749310,10.000000,1
1791,14.665661,10.000000,1
1792,14.547550,10.000000,1
1793,14.818496,10.000000,1
1794,14.886460,10.000000,1
1795,14.496049,10.000000,1
1796,14.777236,10.000000,1
1797,14.575883,10.000000,1
1798,14.573216,10.000000,1
1799,14.606754,10.000000,1
1800,14.766569,10.000000,1
1801,14.344271,10.000000,1
1802,14.507123,10.000000,1
1803,14.722495,10.000000,1
1804,14.956663,10.000000,1
1805,14.363418,10.000000,1
1806,14.444604,10.000000,1
1807,14.652050,10.000000,1
1808,14.533494,10.000000,1
1809,14.476420,10.000000,1
1810,14.691180,10.000000,1
1811,14.900589,10.000000,1
1812,14.651051,10.000000,1
1813,14.583217,10.000000,1
1814,14.795700,10.000000,1
1815,14.366493,10.000000,1
1816,14.336697,10.000000,1
1817,14.413474,10.000000,1
1818,14.494864,10.000000,1
1819,14.644032,10.000000,1
1820,15.187516,10.000000,1
1821,14.589884,10.000000,1
1822,14.351919,10.000000,1
1823,15.419351,10.000000,1
1824,14.314400,10.000000,1
1825,15.667426,10.000000,1
1826,15.854576,10.000000,1
1827,14.981126,10.000000,1
1828,14.526642,10.000000,1
1829,14.393660,10.000000,1
1830,15.210720,10.000000,1
1831,15.507981,10.000000,1
1832,15.376906,10.000000,1
1833,14.718569,10.000000,1
1834,15.093330,10.000000,1
1835,14.758717,10.000000,1
1836,14.621402,10.000000,1
1837,14.404623,10.000000,1
1838,14.664994,10.000000,1
1839,15.648630,10.000000,1
1840,15.119905,10.000000,1
1841,14.627606,10.000000,1
1842,14.768273,10.000000,1
1843,14.910940,10.000000,1
1844,14.664402,10.000000,1
1845,14.565957,10.000000,1
1846,14.617828,10.000000,1
1847,14.582068,10.000000,1
1848,14.350085,10.000000,1
1849,15.085571,10.000000,1
1850,14.476734,10.000000,1
1851,14.465475,10.000000,1
1852,14.324622,10.000000,1
1853,14.789996,10.000000,1
1854,14.742792,10.000000,1
1855,15.066590,10.000000,1
1856,14.518772,10.000000,1
